"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENSEMBL","Symbol"
"Dapma7bEVm000046",34.3826911865447,-1.38199452048792,0.331152833086294,-4.17328309592866,3.00241493378247e-05,0.00370217485229104,NA,""
"Dapma7bEVm000061",344.232533137368,0.44337770429485,0.103101868041457,4.30038478174392,1.70501801820223e-05,0.00249461941212781,"ENSG00000081803","CADPS2"
"Dapma7bEVm000062",401.035408730939,0.25071766569251,0.0780805129664199,3.21101458183728,0.00132267222962262,0.0494423643602085,"ENSG00000103091","WDR59"
"Dapma7bEVm000096",1475.2122669408,0.419911036326329,0.120387774139953,3.48798737518127,0.000486671057874287,0.0251416947421111,"ENSG00000081237","PTPRC"
"Dapma7bEVm000112",62.7114874519154,-1.37793347535113,0.372537899816866,-3.69877393958708,0.000216643445415218,0.0144084949740129,"ENSG00000149328","GLB1L2"
"Dapma7bEVm000121",366.763393159867,0.381841749777091,0.11424851623305,3.34220314072343,0.000831162080111083,0.0360946555766492,"ENSG00000198399","ITSN2"
"Dapma7bEVm000147",21.6608683826653,-1.58841857604075,0.386211457522904,-4.11282095624145,3.9085351617068e-05,0.00446853148623035,NA,""
"Dapma7bEVm000166",649.185882521488,-0.36486929880476,0.106956142969557,-3.41139170387447,0.000646321698739435,0.0308018922527299,NA,""
"Dapma7bEVm000190",319.443169588947,-0.767547754984398,0.211340559377826,-3.63180525898112,0.000281445480387981,0.0178069606748845,"ENSG00000049860","HEXB"
"Dapma7bEVm000195",148.454372525702,-0.747946710395699,0.177406738834308,-4.21599943333752,2.48674383466033e-05,0.00323142796914745,"ENSG00000183044","ABAT"
"Dapma7bEVm000207",210.412003675023,-0.434405833753919,0.119112600083242,-3.64701831250711,0.000265301023288782,0.0169121893827072,"ENSG00000134917","ADAMTS8"
"Dapma7bEVm000243",47.722935640394,-1.44964385422432,0.361757289327894,-4.00722776565912,6.14356110452022e-05,0.00593046729935201,"ENSG00000172824","CES4A"
"Dapma7bEVm000244",928.754458605532,0.34031155854449,0.0730521643606161,4.65847331866267,3.18563085584212e-06,0.000840857219495953,"ENSG00000085719","CPNE3"
"Dapma7bEVm000250",45.5813747012562,-1.44997365453167,0.274119104536423,-5.28957533618024,1.22600677129998e-07,8.62955516148772e-05,NA,""
"Dapma7bEVm000253",265.136669708012,-1.88927562523588,0.473622831105034,-3.98898765253337,6.63558751201789e-05,0.00619309280886841,"ENSG00000080618","CPB2"
"Dapma7bEVm000255",1367.0504792387,-0.312127767616647,0.0915409840326365,-3.40970518194743,0.000650331385896547,0.0308596856796359,"ENSG00000104537","ANXA13"
"Dapma7bEVm000320",118.984724494916,-1.6321625874605,0.389888543889238,-4.18622863646945,2.83627657358958e-05,0.0035491274190851,"ENSG00000115850","LCT"
"Dapma7bEVm000325",179.459580492872,-0.541369626077708,0.167396108612503,-3.23406338752413,0.00122042365582856,0.0468115413816896,"ENSG00000151470","C4orf33"
"Dapma7bEVm000387",77.1368529480226,-1.67451938969642,0.384463541929899,-4.35546991345603,1.32781754829115e-05,0.00216514445800922,"ENSG00000107864","CPEB3"
"Dapma7bEVm000390",73.7189394001282,-1.28550345794398,0.345244277621662,-3.7234605792734,0.000196510556129529,0.0137744930485316,"ENSG00000072274","TFRC"
"Dapma7bEVm000393",45.4945209457137,-1.06517023129754,0.234122974341851,-4.54961856815579,5.37432447941116e-06,0.00116395465936786,"ENSG00000188611","ASAH2"
"Dapma7bEVm000412",36.3853913204972,-0.770349034467573,0.237778218249255,-3.2397796574455,0.00119622098868391,0.046768497279754,NA,""
"Dapma7bEVm000416",16.9130542865383,-1.04584855366262,0.28343612735412,-3.6898914878129,0.000224349728839253,0.0147468481295,NA,""
"Dapma7bEVm000432",625.741135733764,-1.60909731281051,0.287251600305725,-5.60170008138488,2.12259589796986e-08,2.39046750029366e-05,"ENSG00000114113","RBP2"
"Dapma7bEVm000459",175.370781703818,0.432969335312529,0.11613882700691,3.72803261812493,0.000192980405538746,0.0136032520778055,"ENSG00000065413","ANKRD44"
"Dapma7bEVm000463",159.199026501861,-1.30953450839511,0.36340154190527,-3.60354692368497,0.000313904046136881,0.0193191534643478,"ENSG00000072657","TRHDE"
"Dapma7bEVm000517",220.375534186444,0.398730033578989,0.117337914260279,3.39813466169618,0.000678470148236818,0.0319258947469765,"ENSG00000011083","SLC6A7"
"Dapma7bEVm000535",198.355810983691,-2.08480301966681,0.352075476606806,-5.92146615765317,3.19083974759945e-09,6.17397591803725e-06,"ENSG00000101670","LIPG"
"Dapma7bEVm000539",39.0308832279355,-1.67028186780255,0.384249455539735,-4.3468685348074,1.38094931973649e-05,0.00218022213629052,"ENSG00000164073","MFSD8"
"Dapma7bEVm000551",74.4881078092504,-1.05173528822604,0.220907361171152,-4.76097891283575,1.92656179968389e-06,0.000614064310982264,"ENSG00000145476","CYP4V2"
"Dapma7bEVm000556",216.415564968979,-0.992077735130973,0.227810213365214,-4.35484309713773,1.3316226342387e-05,0.00216514445800922,"ENSG00000115850","LCT"
"Dapma7bEVm000566",216.641394944424,-1.43114325566568,0.335246991753468,-4.26892199145551,1.96419941739144e-05,0.00269766022422712,NA,""
"Dapma7bEVm000577",151.227008149116,-1.22136862781493,0.24051438410125,-5.0781521129346,3.81123511904564e-07,0.000189362337841288,NA,""
"Dapma7bEVm000589",69.4199301029594,-0.86602761641276,0.240342506247445,-3.60330608985636,0.000314195164476046,0.0193191534643478,"ENSG00000099984","GSTT2"
"Dapma7bEVm000590",159.493417827127,-2.34747142431979,0.478481370237443,-4.90608740556582,9.2911133436585e-07,0.000365011110963774,"ENSG00000182853","VMO1"
"Dapma7bEVm000593",455.691691869266,-0.814843207313252,0.228204848758878,-3.57066561795196,0.000356075225532045,0.0206707174739273,"ENSG00000110799","VWF"
"Dapma7bEVm000608",727.590595621901,-0.519437040539859,0.135628918147769,-3.82983988690324,0.000128226663370147,0.0106706060310931,"ENSG00000109654","TRIM2"
"Dapma7bEVm000665",138.911920226188,-1.06077989727446,0.303129029609718,-3.49943355356042,0.000466247794713248,0.0246358155446279,"ENSG00000115705","TPO"
"Dapma7bEVm000715",132.732886776322,-0.781680547970368,0.221053208222613,-3.53616468295349,0.00040598152712701,0.0227205584952812,"ENSG00000145476","CYP4V2"
"Dapma7bEVm000758",34.8669931161262,-1.78613173164301,0.439609034674632,-4.06300050899769,4.844592389987e-05,0.00508321113317083,NA,""
"Dapma7bEVm000809",40.2175661792492,-1.71374878271078,0.455986460728245,-3.75833260481856,0.00017104941279739,0.0127743795676675,"ENSG00000072657","TRHDE"
"Dapma7bEVm000811",771.983340555728,-0.313875527259466,0.0925232667460353,-3.39239564596238,0.000692843175772588,0.0324216060064441,"ENSG00000072310","SREBF1"
"Dapma7bEVm000850",187.092807893214,-1.43195433647591,0.346647106001694,-4.13087059341816,3.61391986126365e-05,0.00423957973724492,"ENSG00000174876","AMY1B"
"Dapma7bEVm000855",101.069572628164,-1.56927116426744,0.424578788690161,-3.69606585648965,0.000218966195552128,0.0145058664371063,NA,""
"Dapma7bEVm000918",91.2281718880027,-1.21307936709864,0.258816800183204,-4.68701941388641,2.77212679572414e-06,0.000767697343609311,NA,""
"Dapma7bEVm000928",712.609903988979,0.250317428150465,0.0768968462352483,3.25523659819125,0.00113297937194116,0.0452468570453947,"ENSG00000056998","GYG2"
"Dapma7bEVm000929",37.1581652124671,-0.944012420603009,0.290197776902252,-3.25299673443392,0.00114194809521735,0.0454974744634591,NA,""
"Dapma7bEVm000952",154.302777118383,-1.76377570076598,0.469838954850416,-3.75400056244275,0.000174034472017109,0.0127824536338479,"ENSG00000117984","CTSD"
"Dapma7bEVm000967",308.017338549609,0.484755696183685,0.118008239889592,4.10781227342446,3.99424540636971e-05,0.00449831917665357,"ENSG00000149547","EI24"
"Dapma7bEVm000974",47.5094572637112,-1.43978451894744,0.357929792546204,-4.02253332617339,5.75755044723811e-05,0.00572131174736432,NA,""
"Dapma7bEVm001004",679.088280176403,0.34897977691638,0.107456436496324,3.24763958581781,0.00116366569868618,0.0458223884566567,"ENSG00000112081","SRSF3"
"Dapma7bEVm001009",30.4814559249467,-1.34747920689343,0.401065517991567,-3.35974833648442,0.00078013501966913,0.0349570845816196,"ENSG00000155368","DBI"
"Dapma7bEVm001010",7.23462359367805,2.5472876937444,0.714834921392517,3.56346286046325,0.000365994497846366,0.0211429094779395,NA,""
"Dapma7bEVm001040",112.989779275522,-0.899144686993061,0.265434565590561,-3.38744385077568,0.000705471558396933,0.0327404698791192,NA,""
"Dapma7bEVm001081",520.348364536371,-0.416606568111183,0.0929850407510992,-4.48036119300467,7.45168285410545e-06,0.00144691124660234,"ENSG00000109323","MANBA"
"Dapma7bEVm001109",43.2306817153648,-1.03812797691875,0.271350190712355,-3.82578679673462,0.00013035507369734,0.0107375678677951,"ENSG00000136960","ENPP2"
"Dapma7bEVm001128",182.377370901861,-0.591174140990776,0.168309758220116,-3.51241750473931,0.000444049834521613,0.0238137582684876,"ENSG00000181045","SLC26A11"
"Dapma7bEVm001160",20.3762449352103,-1.7281871944016,0.483104179472561,-3.5772557304066,0.00034722043874147,0.0204329148639031,"ENSG00000162551","ALPL"
"Dapma7bEVm001176",269.172673283575,0.447158867941684,0.110496588896653,4.04681151161971,5.19200154183137e-05,0.00531566557855498,"ENSG00000135722","FBXL8"
"Dapma7bEVm001227",40.0121410496831,-1.68206811588519,0.384321172218072,-4.37672508693003,1.20475770927221e-05,0.00210752139936828,"ENSG00000052802","MSMO1"
"Dapma7bEVm001244",618.446399947122,-1.97600503031488,0.464138759540887,-4.25735836470432,2.06856628403025e-05,0.00279554321888985,"ENSG00000141086","CTRL"
"Dapma7bEVm001252",119.747752209251,-1.51240538386327,0.395200001185008,-3.8269366885838,0.000129747869124083,0.0107375678677951,NA,""
"Dapma7bEVm001255",426.385145109478,-1.52060931763573,0.409761749272173,-3.7109596499348,0.000206475017055893,0.014178790500509,"ENSG00000010438","PRSS3"
"Dapma7bEVm001266",100.571549195932,-1.71400491241498,0.347565313881952,-4.93146135116674,8.16167176011016e-07,0.000328274097722717,NA,""
"Dapma7bEVm001287",144.857168084235,-1.59345357713637,0.420286499698891,-3.79135084823799,0.00014983011826765,0.0115963064851859,"ENSG00000122852","SFTPA1"
"Dapma7bEVm001288",159.407022195295,-1.43638975259586,0.437827172577135,-3.28072317700382,0.00103541312466634,0.0420462353725684,"ENSG00000087128","TMPRSS11E"
"Dapma7bEVm001331",24.5373661105549,-1.07423245235713,0.322495922410414,-3.33099545671167,0.000865360147549497,0.0372874379760387,NA,""
"Dapma7bEVm001356",34.4017412971291,-1.29359086884471,0.385939947417512,-3.351793141655,0.000802899865805483,0.035498508871098,"ENSG00000105726","ATP13A1"
"Dapma7bEVm001390",567.725280732766,-0.292999730723712,0.0866445934644392,-3.38162739310406,0.000720578123206706,0.0328992600954889,"ENSG00000008311","AASS"
"Dapma7bEVm001412",306.088157270225,-0.428804780905992,0.123709551249752,-3.46622210309612,0.000527827061404728,0.0267135490626946,"ENSG00000115705","TPO"
"Dapma7bEVm001460",282.797335446987,-1.85025135601781,0.488500584776046,-3.78761339019903,0.000152101276754525,0.0116264564172588,"ENSG00000172824","CES4A"
